,index,firing_rate,condition,neuron_id
126,126,18.64359784563082,84.0,data_sdc_20190902_145404_fromSD_N0
127,127,18.946934003712588,84.0,data_sdc_20190902_145404_fromSD_N0
128,128,17.529732316433474,84.0,data_sdc_20190902_145404_fromSD_N0
129,129,18.139554004756828,84.0,data_sdc_20190902_145404_fromSD_N0
130,130,16.747836768210167,84.0,data_sdc_20190902_145404_fromSD_N0
131,131,17.55761401836164,84.0,data_sdc_20190902_145404_fromSD_N0
132,132,28.378541611572473,84.0,data_sdc_20190902_145404_fromSD_N0
133,133,24.99350799475662,84.0,data_sdc_20190902_145404_fromSD_N0
134,134,13.28502620967343,84.0,data_sdc_20190902_145404_fromSD_N0
135,135,15.841801922554671,84.0,data_sdc_20190902_145404_fromSD_N0
136,136,20.62677617949962,84.0,data_sdc_20190902_145404_fromSD_N0
137,137,18.02466377671536,84.0,data_sdc_20190902_145404_fromSD_N0
138,138,22.343073807488203,84.0,data_sdc_20190902_145404_fromSD_N0
139,139,17.934751149251817,84.0,data_sdc_20190902_145404_fromSD_N0
140,140,23.017289616399168,84.0,data_sdc_20190902_145404_fromSD_N0
141,141,13.412085432968858,84.0,data_sdc_20190902_145404_fromSD_N0
142,142,20.510765653321425,84.0,data_sdc_20190902_145404_fromSD_N0
143,143,16.5522992312251,84.0,data_sdc_20190902_145404_fromSD_N0
144,144,15.781525362021897,84.0,data_sdc_20190902_145404_fromSD_N0
145,145,20.143566119243136,84.0,data_sdc_20190902_145404_fromSD_N0
146,146,24.170539470597546,84.0,data_sdc_20190902_145404_fromSD_N0
147,147,12.89261019579386,84.0,data_sdc_20190902_145404_fromSD_N0
148,148,20.853452358686816,84.0,data_sdc_20190902_145404_fromSD_N0
149,149,21.393077921630724,84.0,data_sdc_20190902_145404_fromSD_N0
150,150,10.933579286992853,84.0,data_sdc_20190902_145404_fromSD_N0
151,151,15.884236263698563,84.0,data_sdc_20190902_145404_fromSD_N0
152,152,22.99376882323021,84.0,data_sdc_20190902_145404_fromSD_N0
153,153,27.445855836580197,84.0,data_sdc_20190902_145404_fromSD_N0
154,154,18.022505460722893,84.0,data_sdc_20190902_145404_fromSD_N0
155,155,17.753754397387397,84.0,data_sdc_20190902_145404_fromSD_N0
156,156,18.91924718322725,84.0,data_sdc_20190902_145404_fromSD_N0
157,157,18.982522357429822,84.0,data_sdc_20190902_145404_fromSD_N0
158,158,17.040400789354376,84.0,data_sdc_20190902_145404_fromSD_N0
159,159,18.76733585331442,84.0,data_sdc_20190902_145404_fromSD_N0
160,160,26.137770040360877,84.0,data_sdc_20190902_145404_fromSD_N0
161,161,14.12758940443046,84.0,data_sdc_20190902_145404_fromSD_N0
162,162,26.12873420363486,84.0,data_sdc_20190902_145404_fromSD_N0
163,163,24.981952835362396,84.0,data_sdc_20190902_145404_fromSD_N0
164,164,16.348381128909732,84.0,data_sdc_20190902_145404_fromSD_N0
165,165,17.984601110016904,84.0,data_sdc_20190902_145404_fromSD_N0
166,166,18.01359482567443,84.0,data_sdc_20190902_145404_fromSD_N0
167,167,25.191316842336892,92.0,data_sdc_20190902_145404_fromSD_N0
168,168,17.643300561235414,92.0,data_sdc_20190902_145404_fromSD_N0
169,169,16.303857713381994,92.0,data_sdc_20190902_145404_fromSD_N0
170,170,19.49949311345695,92.0,data_sdc_20190902_145404_fromSD_N0
171,171,22.65102049153897,92.0,data_sdc_20190902_145404_fromSD_N0
172,172,21.128109918288988,92.0,data_sdc_20190902_145404_fromSD_N0
173,173,23.785645524599975,92.0,data_sdc_20190902_145404_fromSD_N0
